Month,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
January,"182,084","195,632","198,198","202,667","180,484","191,504","175,673","169,996","171,416","181,343","178,061","177,157","186,105","180,575","208,690","201,163","224,757","218,442","211,928","233,510"
February,"187,098","174,762","188,029","175,005","163,140","183,599","163,516","153,978","158,511","176,492","162,713","156,869","170,282","164,074","168,413","190,135","199,537","195,224","186,036","204,972"
March,"176,374","176,641","181,030","178,947","177,618","178,957","169,586","162,568","170,118","170,613","167,395","168,762","175,315","169,727","169,369","193,511","199,279","196,317","198,358","229,304"
April,"156,528","160,588","163,433","157,392","164,451","172,613","156,629","152,877","157,549","158,327","159,500","158,192","157,604","160,056","160,208","183,642","186,043","168,431","179,073","197,046"
May,"163,966","163,769","171,375","175,885","177,057","179,504","168,350","161,707","167,758","170,874","170,481","165,704","168,322","169,637","170,051","195,962","189,430","173,347","187,183","207,655"
June,"193,973","178,488","188,104","189,973","200,405","162,638","183,332","174,532","181,076","195,451","181,179","185,462","181,548","188,627","194,359","211,873","231,398","189,708","230,524","259,352"
July,"232,954","221,760","226,791","232,486","232,255","242,991","222,045","220,690","222,627","238,887","223,081","212,929","236,843","226,039","243,514","258,326","278,548","250,910","287,728","318,845"
August,"227,086","224,533","217,974","225,010","237,344","236,165","231,631","222,289","224,596","244,999","234,506","218,933","237,526","224,405","260,481","266,015","283,842","277,633","308,643","317,191"
September,"188,770","192,011","200,292","195,227","204,716","213,413","198,169","190,065","201,814","199,163","204,163","208,316","210,226","205,132","224,687","240,447","238,350","235,752","255,590","273,011"
October,"183,057","183,643","158,694","187,124","192,899","183,656","175,875","177,227","178,417","193,675","193,737","185,792","190,369","200,588","205,589","207,512","215,510","204,114","209,980","225,886"
November,"162,410","168,082","166,497","167,724","175,633","164,018","158,076","161,046","165,061","167,772","167,444","163,708","167,954","175,814","178,618","189,387","192,023","186,570","198,588","206,396"
December,"181,241","176,194","180,077","173,785","190,294","166,834","164,758","166,137","169,610","171,031","173,841","168,401","175,124","182,850","192,808","195,041","198,795","199,955","218,018","207,776"
