Month,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
January,,,,,,"10,301","10,449","12,004","14,316","16,589"
February,,,,,,"10,117","11,927","16,341","19,685","20,334"
March,,,,,,"18,805","16,833","18,018","24,608","22,616"
April,,,,,,"19,469","17,848","22,288","23,572","24,745"
May,,,,,,"21,501","21,524","26,213","28,790","33,125"
June,,,,,,"22,242","22,853","28,177","28,102","34,544"
July,,,,,,"22,066","23,398","27,637","29,061","32,417"
August,,,,,,"19,660","21,644","25,947","26,090","30,335"
September,,,,,,"16,369","18,013","20,218","23,529","25,780"
October,,,,,,"14,009","15,060","19,496","17,621","23,846"
November,,,,,,"11,734","11,817","14,156","13,589","16,788"
December,,,,,,"12,722","10,478","12,319","14,099","15,839"
