Year,Sub-Sector,Emissions
2021,Wastewater Treatment and Discharge,16.167786385
2020,Wastewater Treatment and Discharge,13.406545210
2019,Wastewater Treatment and Discharge,15.961898243
2018,Wastewater Treatment and Discharge,8.906486169
2017,Wastewater Treatment and Discharge,9.634570513
2016,Wastewater Treatment and Discharge,10.094908883
2015,Wastewater Treatment and Discharge,11.679925980
2014,Wastewater Treatment and Discharge,7.234509647
2013,Wastewater Treatment and Discharge,4.496902298
2012,Wastewater Treatment and Discharge,3.783288057
2011,Wastewater Treatment and Discharge,10.175920987
2010,Wastewater Treatment and Discharge,28.608613660
2009,Wastewater Treatment and Discharge,26.625671235
2008,Wastewater Treatment and Discharge,29.726534220
2007,Wastewater Treatment and Discharge,31.801216856
2006,Wastewater Treatment and Discharge,31.244865533
2005,Wastewater Treatment and Discharge,31.065706247
2004,Wastewater Treatment and Discharge,31.129325596
2003,Wastewater Treatment and Discharge,30.857386593
2002,Wastewater Treatment and Discharge,30.666217217
2001,Wastewater Treatment and Discharge,30.421188389
2000,Wastewater Treatment and Discharge,31.407233757
1999,Wastewater Treatment and Discharge,30.107953412
1998,Wastewater Treatment and Discharge,31.173783438
1997,Wastewater Treatment and Discharge,31.330792739
1996,Wastewater Treatment and Discharge,30.383787171
1995,Wastewater Treatment and Discharge,30.673726254
1994,Wastewater Treatment and Discharge,29.944544502
1993,Wastewater Treatment and Discharge,29.661529140
1992,Wastewater Treatment and Discharge,29.478143375
1991,Wastewater Treatment and Discharge,29.074485914
1990,Wastewater Treatment and Discharge,28.309812418
2021,Solid Waste Disposal,182.897322734
2020,Solid Waste Disposal,175.669367485
2019,Solid Waste Disposal,165.462733369
2018,Solid Waste Disposal,155.480144736
2017,Solid Waste Disposal,146.954816719
2016,Solid Waste Disposal,148.411929977
2015,Solid Waste Disposal,136.445235865
2014,Solid Waste Disposal,125.381690918
2013,Solid Waste Disposal,113.415371429
2012,Solid Waste Disposal,115.167474132
2011,Solid Waste Disposal,106.963319098
2010,Solid Waste Disposal,94.327545737
2009,Solid Waste Disposal,108.176220708
2008,Solid Waste Disposal,88.034454187
2007,Solid Waste Disposal,176.793365715
2006,Solid Waste Disposal,169.816938087
2005,Solid Waste Disposal,162.537337635
2004,Solid Waste Disposal,153.602036328
2003,Solid Waste Disposal,144.706997529
2002,Solid Waste Disposal,136.140778774
2001,Solid Waste Disposal,127.511335594
2000,Solid Waste Disposal,119.457101948
1999,Solid Waste Disposal,110.357926675
1998,Solid Waste Disposal,101.829746177
1997,Solid Waste Disposal,93.004481236
1996,Solid Waste Disposal,85.916227454
1995,Solid Waste Disposal,78.859141464
1994,Solid Waste Disposal,72.054246112
1993,Solid Waste Disposal,65.441951267
1992,Solid Waste Disposal,58.959423640
1991,Solid Waste Disposal,52.627604484
1990,Solid Waste Disposal,46.475651144
2021,Settlements,2.479367069
2020,Settlements,9.612821728
2019,Settlements,8.454702725
2018,Settlements,0.177588617
2017,Settlements,0.206765054
2016,Settlements,0.196879269
2015,Settlements,0.226173665
